"id","utterance","context","rule_based","llm","llm_reason","next_student_move","rb_num","llm_num"
"133","Is it going to be more or less?","[T]: These other factors, or is it going to be less than those factors?
[T]: RIcardo.","A","C","The teacher is asking for a comparison, which requires understanding the student's reasoning about quantity.","","0","2"
"134","Remind me, what should you make sure you definitely use if you are still feeling like you add maybe a two on this?","[T]: What about the bottom one, please?
[T]: 1/2 plus 2/5.","A","B","The teacher is asking for a reminder of a procedure, which requires understanding the student's process.","MakingClaim","0","1"
"135","Then, your answer would be what?","[T]: Quietly go with your partner, you have about-- Then decide who is A and B.
[T]: We're going to have time for one minute each.","A","A","The teacher is asking for a factual answer about what the answer would be, without needing to understand the student's thinking.","None","0","0"
"136","Am I going to be closer to a half, m I going to be closer to one or am I going to be closer to about one and a half?","[T]: And there's one fourth, okay?
[T]: I'm adding those together.","A","C","The teacher is asking for a comparison, which requires understanding the student's reasoning about proximity.","","0","2"
"137","What do you think, Thatcher?","[Ms. Davies]: What unit are they using to measure time?
[Class]: An hour?","A","A","The teacher is asking for a factual answer about the unit of measurement, without needing to understand the student's thinking.","MakingClaim","0","0"
"138","And Whitney, what would your number sentence be?","[T]: So you can write that in words, how many times does one fourth fit into two and three fourths.
[T]: And remember, this is just to show you what to do and then you can just write your work in your notebook.","A","B","The teacher is asking for a number sentence, which requires understanding the student's process of translating a word problem into a mathematical expression.","MakingClaim","0","1"
"139","When we convert, when do you ever have to convert to something?","[T]: I think you guys have to think way back.
[T]: We're not thinking about fractions necessarily.","A","C","The teacher is asking for a conceptual understanding of conversion, which requires understanding the student's grasp of when conversion is necessary.","None","0","2"
"140","What we’re asked to do in that first problem?","[T]: Looks like we have  some work cut out for us, isn’t that right?
[T]: Ok, can someone  tell us what that first problem is about in your own words?","A","A","The teacher is asking for a factual answer about the problem statement, not requiring reasoning about student understanding.","ProvidingEvidence","0","0"
"141","How do those relate to these points?","[T]: Five comma zero.
[T]: Okay.","A","C","The teacher is asking how the given points relate, which requires understanding the student's interpretation of the relationship.","","0","2"
"142","Anything else that people think for this?","[T]: It doesn't have to be double, they just have to be larger.
[T]: They need to be accurate and larger.","A","C","The teacher is inviting additional thoughts, which could involve reasoning about student understanding of the problem.","MakingClaim","0","2"
"143","What two numbers multiplied is 24?","[T]: Let's see.
[T]: Let's do it this way, make it easier.","A","A","The teacher is asking for a factual answer about multiplication, not requiring reasoning about student understanding.","ProvidingEvidence","0","0"
"144","Following my steps, what's the denominator?","[ Teacher ]: Sorry, what would I write?
[ Student ]: You should write 15.","A","A","The teacher is asking for a factual answer based on following steps, not requiring reasoning about student understanding.","MakingClaim","0","0"
"145","Dani earned $9 in allowance last week, he spent two thirds of his allowance on comic books, how much money did he spend on comic books?","[S]: Let's go.
[T]: Okay.","A","A","The teacher is asking for a factual calculation based on given information, not requiring reasoning about student understanding.","","0","0"
"146","But when we're dealing with fractions, they can be because what matters is the size of the...","[T]: They're not equal when we're dealing with whole numbers, right?
[Ss]: No.","A","C","The teacher is explaining a concept about fractions, which involves reasoning about student understanding of size and equivalence.","MakingClaim","0","2"
"147","Somebody take me through their thinking on this one.","[T]: Show.
[T]: All right.","A","B","The teacher is asking for a student's thought process, which requires understanding the student's approach.","MakingClaim","0","1"
"148","How many lines did they give us for our twelfths?","[T]: Can you wait?
[T]: Okay, so let's look at our twelfths then.","A","A","The teacher is asking for a factual answer about the number of lines, not requiring reasoning about student understanding.","MakingClaim","0","0"
"149","What would your final answer be?","[T]: Good job keep going.
[S]: Then 40 divided by 5 is 8.","A","A","The teacher is asking for a factual answer about the final result, not requiring reasoning about student understanding.","None","0","0"
"150","Eden, what are the two things that we are comparing for Diego?","[Ms. Davies]: So we're going to make two ratio tables at the top of page 15.
[Ms. Davies]: We're going to start by making one for Diego.","A","A","The teacher is asking for a factual answer about what is being compared, not requiring reasoning about student understanding.","MakingClaim","0","0"
"151","Six times two which is?","[T]: Jonah.
[ Ishmail ]: Two.","A","A","The teacher is asking for a factual answer to a multiplication problem, not requiring reasoning about student understanding.","MakingClaim","0","0"
"152","Let’s take in the first column, what do those numbers represent?","[Stephanie]: Uh, on these sides?
[T1]: Yeah. ","A","C","The teacher is asking for an explanation of what the numbers represent, which requires understanding the student's interpretation.","None","0","2"
"153","So what if we had 10 apples.","[Ms. Gibson]: So we have that if there were 10 apples in a basket?
[Ms. Gibson]: Okay?","C","C","The teacher is asking a hypothetical question to explore understanding, which requires reasoning about student understanding.","","2","2"
"154","Zach, come and show them what we did.","[Ms. Strathom]: One fourth plus two sixths?
[S1]: Yes.","A","B","The teacher is asking the student to demonstrate a procedure, which requires understanding what the student did.","None","0","1"
"155","And then what could I do with it, if I sawed it in half?","[T]: Would you agree that maybe I could take this one [white rod]  and saw it in half, if I had a saw?
[Erik]: Yeah.","A","C","The teacher is asking the student to think about the implications of an action, which requires reasoning about student understanding.","MakingClaim","0","2"
"156","So what is the one in the orange juice mean compared to the one and one fourth in the soda water?","[T]: The part that's circled in yellow?
[Max]: Well, it's basically the answer because it's super extended or, sorry, it's super extended because we had to do work on the division problem for five divided by four.","A","C","The teacher is asking for a comparison of two quantities, which requires understanding the student's interpretation of the context.","MakingClaim","0","2"
"157","Where is it at?","[ T ]: Let me see where you're at.
[ T ]: Because I bet you just didn't round it, I bet that's all you forgot to do.","A","A","The teacher is asking for a factual answer about the location of a number, not requiring reasoning about student understanding.","","0","0"
"158","Wanna take a shot at it?","[Michael]: I don't know
[ROmina]: Divide by half for the other line and go down ","A","B","The teacher is encouraging the student to attempt a solution, which requires understanding the student's willingness to engage.","MakingClaim","0","1"
"159","And then which one's bigger?","[T]: Yes.
[T]: So then we will have four fifths.","A","A","The teacher is asking for a factual comparison of sizes, not requiring reasoning about student understanding.","MakingClaim","0","0"
"160","The hardest part is the explaining part, so what is it that you're going to be explaining in the problem?","[T]: Some of you've already gotten started, you're in a big hurry, you're going to have tons of time.
[T]: I want you to talk to your neighbor about what you think you have to do.","A","C","Teacher prompts students to consider what they will need to explain, indicating a need to understand the student's approach to the problem.","","0","2"
"161","What type of number?","[Ms. Strathom]: This is an easy one.
[Ms. Strathom]: I can do it with anything that is a what type of number?","A","A","Teacher asks for a factual answer about the type of number, without needing to consider student understanding.","None","0","0"
"162","what do you do?","[T]: If you do the length * the width, you should get the area they gave you.
[T]: Right now, I want you to turn and tell someone how do you figure out the missing sign.","B","B","Teacher asks students to discuss their procedure for finding the missing sign, focusing on what they did.","","1","1"
"163","Dan, how do we start math today?","[T]: [unintelligible 00:34:32]
[T]: Can anyone share how we started math today that is a little bit different than normal.","A","B","Teacher asks a student to recount the day's starting activity, focusing on what happened rather than understanding.","None","0","1"
"164","John, can you explain what you did?","[T]: John, turn your microphone on.
[T]: Okay.","B","B","Teacher asks the student to explain their procedure, focusing on what they did rather than their reasoning.","MakingClaim","1","1"
"165","All these squares, if you counted all the red squares up, how many squares would there be filled in?","[T]: One, two, three, four, five, six, seven.
[T]: 47 hundreds.","A","A","Teacher asks for a factual count of squares, not requiring reasoning about student understanding.","","0","0"
"166","Brogan, what'd you get for an answer?","[T]: Okay.
[T]: All right.","A","A","Teacher asks for a factual answer, not requiring reasoning about student understanding.","MakingClaim","0","0"
"167","Now what have you found?","[T]: Have you done?
[SN]: Here we have to do it in the simplified way or-","A","B","Teacher asks what the student has found, focusing on the result rather than the reasoning behind it.","None","0","1"
"168","And the denominator is the same as the what?","[T]: So the numerator is the same as the dividend.
[T]: Right?","A","A","Teacher asks for a factual answer about the denominator, not requiring reasoning about student understanding.","MakingClaim","0","0"
"169","What is my answer?","[S]: Which makes it a?
[S]: I did that now.","A","A","Teacher asks for a factual answer, not requiring reasoning about student understanding.","","0","0"
"170","What am I doing to one to get four?","[Ms. Smith]: They want us to find our denominator.
[Ms. Smith]: Easy question.","A","A","Teacher asks for a factual operation, not requiring reasoning about student understanding.","MakingClaim","0","0"
"171","What [unintelligible 00:39:33] might go into both of those?","[T]: It's weighted only 20% and it's only 1 point out of all that, yes.
[T]: No, no, you just have to do-- Here you would want to think, ""What could I divide these by that's a factor of both of them?""","A","C","Teacher prompts students to think about factors, indicating a need to understand their reasoning process.","","0","2"
"172","What number is a factor of every even number?","[T]: You know they're both even, and what number goes into every even number.
[T]: What number goes into every even number?","A","A","Teacher asks for a factual answer about factors of even numbers, not requiring reasoning about student understanding.","MakingClaim","0","0"
"173","Ethan, how do we find the perimeter?","[Ms. Smith]: How do we find the fence?
[Ms. Smith]: Samantha knows, but somebody else has to know.","B","B","Teacher asks a student to recount the procedure for finding the perimeter, focusing on what they did.","MakingClaim","1","1"
"174","Okay I'm going to go down here to 9 is 10% of what number?","[T]: Good job.
[T]: So your first one is 18, I can see that there are several, you can type that in all right.","A","A","Teacher asks for a factual answer about a percentage problem, not requiring reasoning about student understanding.","","0","0"
"175","Therefore, this is called?","[T]: Of course we will, we will not call them terms, we should call him- call them?
[T]: Factors.","A","A","Teacher asks for a factual term, not requiring reasoning about student understanding.","","0","0"
"176","At the ends of the function, all the way to the left at negative infinity, and all the way at the right at positive infinity, what is the function doing?","[S]: Those look more sixes than zeros.
[T]: Whatever, don't judge me.","A","C","Teacher asks about the behavior of a function at infinity, requiring understanding of the student's conceptual grasp.","","0","2"
"177","What's the y intercept?","[T]: What's the y intercept on this graph?
[T]: What's the slope?","A","A","Teacher asks for a factual answer about the y-intercept, not requiring reasoning about student understanding.","","0","0"
"178","What am I going to do?","[T]: If I'm using these fractions and I want them all to be equivalent to 4/5, what am I doing with them?
[T]: How am I going to find out what is equivalent?","A","B","Teacher asks about the procedure for finding equivalent fractions, focusing on what they did.","None","0","1"
"179","If you have an interpreter, what is that person doing?","[T]: I can interpret a drawing to solve fraction, number story.
[T]: Interpret; if I am interpreting something-- Think about a foreign language.","A","C","Teacher asks about the role of an interpreter, requiring understanding of the student's conceptual grasp of interpretation.","MakingClaim","0","2"
"180","Anybody want to tell me?","[Ms. Gibson]: 3/8ths plus one and 2/3rds.
[Ms. Gibson]: Show me.","A","A","The teacher is asking for a volunteer to share their answer, which does not require reasoning about student understanding.","ProvidingEvidence","0","0"
"181","Somebody tell me what digit is in the hundredths spot?","[T]: Show.
[T]: All right.","B","A","The teacher is asking for a factual answer about place value, which does not require reasoning about student understanding.","MakingClaim","1","0"
"182","What were we making with our arrays?","[Nathan]: We were doing arrays.
[Ms. Smith]: We were looking at arrays.","A","B","The teacher is asking students to recall what they were making with arrays, which requires some attention to what they did.","MakingClaim","0","1"
"183","What are we going to add?","[T]: What are we going to do to figure this out, Dana?
[T]: We sure are, we're going to add.","A","A","The teacher is asking for a specific factual answer about what to add, not probing student understanding.","MakingClaim","0","0"
"184","Ok, why don't the rest of you sit down and let's have Erik  and Alan make that model.","[Erik]: Yeah, Alan and I made that same model.
[Erik]: We made the  same model that was, I think it was two oranges and like  one purple, yeah it was two oranges and one purple and  then it had the thirds","C","B","The teacher is asking Erik and Alan to demonstrate their model, which involves attending to their procedure.","RelatingToAnother","2","1"
"185","What is that comma saying?","[Jane]: One hundred sixty-nine hundred.
[T]: Whoop.","A","C","The teacher is asking about the function of a comma in a number, which requires understanding its role in place value.","MakingClaim","0","2"
"186","What I would do is start off with my rectangle to figure out what the right way is and then, how could you help Eli?","[T]: What mistake did Eli make?
[T]: Sketch a partition rectangle that can help Eli understand what he did wrong.""","A","C","The teacher is asking students to think about how to help Eli understand his mistake, which requires reasoning about Eli's understanding.","","0","2"
"187","How many bags come in a carton.","[T]: Okay, so the principle is ordering snack size bags of pretzels.
[T]: Nine cartons contain 540 bags.","A","A","The teacher is asking for a factual calculation of bags per carton, not probing student understanding.","","0","0"
"188","Then well what do you see that's different?","[T]: Yes.
[T]: What do you see that is the same in both?","A","B","The teacher is asking students to compare similarities and differences, which requires some reasoning about their observations.","ProvidingEvidence","0","1"
"189","No, what are you thinking?","[T]: Parker, what are you thinking?
[Parker]: No.","A","C","The teacher is asking Parker to elaborate on his thinking, which requires attending to his thought process.","MakingClaim","0","2"
"190","700 x 5, Charles.","[Lennox]: 2,400.00
[T]: Good job.","A","A","The teacher is asking for a factual calculation, not probing student understanding.","MakingClaim","0","0"
"191","So what are your numbers up here?","[S]: Yes, it makes sense.
[T]: Okay.","A","A","The teacher is asking for a factual answer about the numbers, not probing student understanding.","MakingClaim","0","0"
"192","Which is a longer walk?","[T]: Over here.
[T]: Okay, is it a longer walk to go from the family restaurant to the boat rental, or from the post office to the fire department?","A","A","The teacher is asking for a factual comparison of distances, not probing student understanding.","","0","0"
"193","Wyatt, what are you thinking?","[T]: With a raised hand, who can tell me what is different about 5/8 in the first three problems that you solved today.
[T]: Cooper used a different strategy to solve that one.","A","C","The teacher is asking Wyatt to share his thinking, which requires attending to his thought process.","ProvidingEvidence","0","2"
"194","What would my numerator be for each of those pieces?","[Student]: Denominator.
[Ms. Parker]: My denominator is going to be three.","A","A","The teacher is asking for a factual answer about the numerator, not probing student understanding.","MakingClaim","0","0"
"195","And the positive one?","[Kimberly]: To the left of zero.
[T1]: Okay.","A","A","The teacher is asking for a factual answer about the position of a number, not probing student understanding.","MakingClaim","0","0"
"196","When you hear how much more what do you think of in your head?","[T]: Hunter what are you going to do with them?
[ Hunter ]: I'm going to look at the other number and try and compare how much more it has","A","C","The teacher is asking Hunter to explain his thought process when comparing numbers, which requires reasoning about his understanding.","ProvidingEvidence","0","2"
"197","If you had one chance to roll the dice, and everything was on it, what number would you choose?","[T2]: What was the one number from this one? 
[T2]: For a sum that you wanted to pick? ","A","B","The teacher is asking for a choice based on probability, which requires some reasoning about the student's strategy.","MakingClaim","0","1"
"198","How do you align it?","[Hudson]: The ones place is with the tenths place.
[S]: You can put zeros to hold them.","B","B","The teacher is asking for an explanation of a procedure, which requires attending to the student's method.","MakingClaim","1","1"
"199","Shane, what does SS these equals?","[T]: Shane just said something and I'm wondering if anybody else noticed this?
[T]: She said, ""I know what it equals.""","A","C","The teacher is asking Shane to clarify his statement, which requires reasoning about his understanding.","MakingClaim","0","2"
